Age;Temp;Uncertainty_SUP;Uncertainty_INF
-53.9;12.528255;13.700203;11.356307
-7.4;11.721362;12.853132;10.589592
39.2;11.843436;12.947383;10.739489
85.8;12.217679;13.405235;11.030123
132.4;11.628491;12.777299;10.479683
178.9;12.192037;13.355902;11.028172
225.5;11.25261;12.368469;10.136751
272.1;11.778846;12.898013;10.659679
318.7;11.932939;13.080977;10.784901
365.2;9.8141;10.939167;8.689033
411.8;12.654785;13.857788;11.451782
458.4;11.335963;12.480118;10.191808
505;9.703512;10.843141;8.563883
551.5;12.119128;13.317375;10.920881
598.1;11.374046;12.556344;10.191748
644.7;11.745495;12.871752;10.619238
691.2;12.181254;13.383558;10.97895
737.8;13.1472;14.409976;11.884424
784.4;10.968011;12.089178;9.846844
831;9.275615;10.460777;8.090453
877.5;10.676065;11.801664;9.550466
1027.4;10.689212;11.826735;9.551689
1127.4;10.605362;11.717381;9.493343
1327.2;9.72426;10.827364;8.621156
1477.1;8.985337;10.125284;7.84539
1627;11.366807;12.459817;10.273797
1776.9;11.072541;12.174191;9.970891
1903.6;12.560517;13.718856;11.402178
1983.6;11.184307;12.330389;10.038225
2143.8;11.35274;12.508823;10.196657
2303.9;11.510685;12.629212;10.392158
2465.7;11.677113;12.79788;10.556346
2630.7;10.813269;11.914379;9.712159
2795.7;10.485751;11.617876;9.353626
2960.6;11.528563;12.66657;10.390556
3099.2;10.872396;11.983145;9.761647
3260.8;12.171031;13.357851;10.984211
3353.2;12.224314;13.371313;11.077315
3422.5;11.875502;13.090794;10.66021
3640.4;11.175181;12.386995;9.963367
3858.3;12.201475;13.407243;10.995707
3958.7;12.964513;14.123942;11.805084
4109.4;11.89359;13.000302;10.786878
4209.8;11.973318;13.142975;10.803661
4360.5;12.453825;13.592816;11.314834
4541.1;10.999494;12.182885;9.816103
4721.7;10.937324;12.066887;9.807761
5082.9;11.602363;12.794329;10.410397
5523.6;11.705954;12.840953;10.570955
5964.2;12.129142;13.295343;10.962941
