Emile;Izaac;Paradis;Saxon
-28;93;65;7
332;208;160;207
532;1243;236;382
772;1381;502;457
872;1519;597;632
912;1680;711;757
1072;1795;844;857
1172;1956;958;1082
1252;2117;1015;1182
1332;2462;1129;1607
1592;2577;1395;1857
1832;3014;1566;2057
2032;3221;1794;2157
2172;3313;1870;2432
2372;3428;2136;2657
2532;3520;2193;2732
2592;3773;2478;2932
2772;3819;2516;3332
2932;3934;2554;3532
3192;4049;2630;3757
3272;4371;2820;4107
3632;4693;2877;4182
3752;4785;2991;5082
4192;4831;3200;5207
4252;4992;3257;5382
4312;5084;3333;5782
4472;5222;3371;5932
4572;5682;3599;6232
4672;5774;3732;6307
4912;6050;3941;6482
4992;6165;4207;6807
5252;6211;4587;7007
5432;6303;4777;7107
5512;6487;4967;7257
6032;6579;5062;7382
6132;6625;5233;7432
6352;6786;5290;7657
6552;6924;5366;8082
6812;7200;5423;8232
7072;7522;5651;8332
7312;7660;5689;8457
7412;7706;5993;8882
7512;8166;6278;8957
7792;8350;6658;9307
7852;8741;6734;9482
8132;9040;7019;9657
8392;9132;7228;
8452;9454;7608;
8532;9684;7722;
8732;;7836;
8912;;8007;
9032;;8881;
9152;;9166;
9292;;9356;
9432;;9508;
9492;;;
