Age;Temp
0;8.5
100;8.978787879
200;9.023943662
300;8.558666667
400;8.356578947
500;8.3
600;8.164935065
700;8.466666667
800;8.303846154
900;8.512820513
1000;8.764556962
1100;8.629113924
1200;8.517721519
1300;8.435
1400;8.5075
1500;8.65125
1600;8.6875
1700;8.614814815
1800;8.37654321
1900;8.2
2000;8.220731707
2100;8.320731707
2200;8.519512195
2300;8.504878049
2400;8.38902439
2500;8.457317073
2600;8.545121951
2700;8.658536585
2800;8.397560976
2900;8.298780488
3000;7.992682927
3100;8.439759036
3200;8.368292683
3300;8.141463415
3400;8.106097561
3500;8.2
3600;8.076829268
3700;8.322891566
3800;8.318072289
3900;8.385542169
4000;8.268674699
4100;8.245783133
4200;8.365853659
4300;8.430487805
4400;8.468292683
4500;8.476829268
4600;8.563414634
4700;8.615853659
4800;8.33902439
4900;8.456097561
5000;8.407317073
5100;8.379268293
5200;8.47804878
5300;8.47195122
5400;8.487804878
5500;8.690123457
5600;8.458024691
5700;8.281481481
5800;8.588888889
5900;8.527160494
6000;8.32345679
6100;8.651851852
6200;8.604938272
6300;8.755555556
6400;8.288888889
6500;8.104938272
6600;7.62962963
6700;7.9
6800;8.23875
6900;8.3075
7000;7.9325
7100;8.1425
7200;8.217721519
7300;8.072151899
7400;7.898734177
7500;8.563291139
7600;8.534177215
7700;8.553164557
7800;8.512658228
7900;8.143037975
8000;7.763636364
8100;7.642857143
8200;7.753246753
8300;7.901298701
8400;8.057142857
8500;7.963636364
8600;7.505263158
8700;7.297368421
8800;7.656
8900;7.809459459
9000;7.772972973
9100;8.579452055
9200;8.447945205
9300;7.969863014
9400;7.797222222
9500;7.936619718
9600;7.905633803
9700;7.667605634
9800;7.984507042
9900;8.46056338
10000;8.542253521
